"file","generated_at","query","profile","retrieval","selected_attempt","selected_token_budget","selected_top_k","context_tokens_used","context_token_budget","output_length","selected_useful","selected_failed","failure_reason","context_tokens_present","token_savings_vs_2200_budget","token_savings_vs_2200_used","auto_scope"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-07T09:11:37.3479051+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-08T06:17:26.0058538+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2934","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-08T06:17:26.6739149+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1887","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-08T06:17:27.3415434+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-09T06:11:05.5404327+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2934","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-09T06:11:06.3017911+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1887","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-09T06:11:07.2296527+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-09T17:07:32.4201190+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2934","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-09T17:07:33.4145335+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1887","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-09T17:07:34.9631534+03:00","release checklist gate-uri","planning","hybrid","2","1400","12","659","1400","2573","True","False","","True","800","1541","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-10T17:03:27.8850902+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2934","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-10T17:03:28.8100393+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1887","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-10T17:03:29.7797464+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-11T06:12:19.1267243+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2934","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-11T06:12:19.8133524+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1887","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-11T06:12:20.5028467+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-12T06:12:20.1960312+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2934","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-12T06:12:20.8679853+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1887","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-12T06:12:21.6280661+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-13T11:00:10.2681349+03:00","roadmap faze prioritati","planning","hybrid","1","900","8","705","900","2934","True","False","","True","1300","1495","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-13T11:00:10.9610623+03:00","mcp docker server mvp faze","planning","hybrid","1","900","8","447","900","1887","True","False","","True","1300","1753","True"
"C:\Users\HeroesninjA\IdeaProjects\test\.ai\nightly\planning\mcp-context-nightly-summary-planning.jsonl","2026-06-13T11:00:11.6618615+03:00","release checklist gate-uri","planning","hybrid","1","900","8","447","900","1844","True","False","","True","1300","1753","True"
